Fecha,USD_CAD,USD_AUD
2022-08-24,1.2967,1.4474
2022-08-23,1.2955,1.4429
2022-08-22,1.3056,1.4542
2022-08-19,1.2994,1.4546
2022-08-18,1.2948,1.4457
2022-08-17,1.2913,1.4421
2022-08-16,1.2845,1.4241
2022-08-15,1.2906,1.424
2022-08-12,1.2782,1.4042
2022-08-11,1.2764,1.4074
2022-08-10,1.2776,1.4105
2022-08-09,1.2889,1.4355
2022-08-08,1.2854,1.431
2022-08-05,1.2932,1.447
2022-08-04,1.2865,1.4345
2022-08-03,1.2843,1.4393
2022-08-02,1.2881,1.4452
2022-08-01,1.2844,1.4238
2022-07-29,1.2795,1.4315
2022-07-28,1.2807,1.4307
2022-07-27,1.2825,1.4301
2022-07-26,1.2887,1.441
2022-07-25,1.2846,1.4377
2022-07-22,1.2916,1.4433
2022-07-21,1.2868,1.4422
2022-07-20,1.2884,1.4518
2022-07-19,1.287,1.4499
2022-07-18,1.2977,1.4681
2022-07-15,1.3032,1.4721
2022-07-14,1.3118,1.482
2022-07-13,1.2974,1.4799
2022-07-12,1.3022,1.4797
2022-07-11,1.3007,1.4847
2022-07-08,1.2947,1.4583
2022-07-07,1.2968,1.4621
2022-07-06,1.3042,1.4746
2022-07-05,1.3033,1.4703
2022-07-04,1.2861,1.4566
2022-07-01,1.2899,1.467
2022-06-30,1.2873,1.4483
2022-06-29,1.2893,1.4538
2022-06-28,1.2875,1.4481
2022-06-27,1.2877,1.444
2022-06-24,1.2891,1.4407
2022-06-23,1.2996,1.4507
2022-06-22,1.2946,1.4438
2022-06-21,1.2922,1.4342
2022-06-20,1.2981,1.4384
2022-06-17,1.303,1.4419
2022-06-16,1.295,1.4192
2022-06-15,1.2891,1.428
2022-06-14,1.295,1.455
2022-06-13,1.2899,1.4439
2022-06-10,1.2776,1.4195
2022-06-09,1.2699,1.409
2022-06-08,1.256,1.3908
2022-06-07,1.2532,1.3829
2022-06-06,1.258,1.3901
2022-06-03,1.2594,1.3873
2022-06-02,1.257,1.3765
2022-06-01,1.2657,1.3939
2022-05-31,1.2647,1.3933
2022-05-30,1.2655,1.3894
2022-05-27,1.2724,1.3963
2022-05-26,1.2773,1.4087
2022-05-25,1.2816,1.4109
2022-05-24,1.2819,1.4069
2022-05-23,1.2767,1.4067
2022-05-20,1.284,1.4202
2022-05-19,1.2825,1.4189
2022-05-18,1.289,1.438
2022-05-17,1.2811,1.4229
2022-05-16,1.2846,1.4346
2022-05-13,1.2929,1.4412
2022-05-12,1.3046,1.4588
2022-05-11,1.2992,1.4414
2022-05-10,1.3027,1.4411
2022-05-09,1.3011,1.4389
2022-05-06,1.2875,1.4135
2022-05-05,1.2834,1.4059
2022-05-04,1.2747,1.3779
2022-05-03,1.2841,1.4093
2022-05-02,1.288,1.4182
2022-04-29,1.2848,1.4162
2022-04-28,1.2808,1.4089
2022-04-27,1.2819,1.4033
2022-04-26,1.2826,1.4038
2022-04-25,1.2735,1.393
2022-04-22,1.271,1.3805
2022-04-21,1.2581,1.3567
2022-04-20,1.2499,1.3421
2022-04-19,1.2618,1.3557
2022-04-18,1.2614,1.3606
2022-04-15,1.261,1.3523
2022-04-14,1.2603,1.3482
2022-04-13,1.2567,1.3415
2022-04-12,1.2644,1.3415
2022-04-11,1.263,1.3481
2022-04-08,1.2572,1.3406
2022-04-07,1.2591,1.3371
2022-04-06,1.2544,1.3319
2022-04-05,1.2487,1.3197
2022-04-04,1.2485,1.3258
2022-04-01,1.2522,1.3331
2022-03-31,1.2505,1.3362
2022-03-30,1.2481,1.3316
2022-03-29,1.2497,1.332
2022-03-28,1.2518,1.3349
2022-03-25,1.2477,1.3307
2022-03-24,1.2526,1.331
2022-03-23,1.2562,1.3335
2022-03-22,1.257,1.3387
2022-03-21,1.2593,1.3513
2022-03-18,1.2603,1.3488
2022-03-17,1.2628,1.3556
2022-03-16,1.2677,1.3715
2022-03-15,1.2765,1.3899
2022-03-14,1.2824,1.3912
2022-03-11,1.2744,1.3714
2022-03-10,1.2769,1.359
2022-03-09,1.2809,1.3658
2022-03-08,1.2885,1.3753
2022-03-07,1.282,1.3668
2022-03-04,1.2731,1.3561
2022-03-03,1.2681,1.3645
2022-03-02,1.2631,1.3703
2022-03-01,1.2743,1.3786
2022-02-28,1.2675,1.377
2022-02-25,1.2713,1.3825
2022-02-24,1.2816,1.3961
2022-02-23,1.2734,1.3825
2022-02-22,1.277,1.3853
2022-02-21,1.2753,1.3908
2022-02-18,1.2752,1.3933
2022-02-17,1.2708,1.3913
2022-02-16,1.2687,1.3899
2022-02-15,1.2718,1.3983
2022-02-14,1.273,1.4031
2022-02-11,1.2737,1.4013
2022-02-10,1.2719,1.3953
2022-02-09,1.267,1.3929
2022-02-08,1.2708,1.3993
2022-02-07,1.2667,1.4033
2022-02-04,1.2757,1.4139
2022-02-03,1.2678,1.4006
2022-02-02,1.2669,1.4015
2022-02-01,1.2687,1.4028
2022-01-31,1.2708,1.4147
2022-01-28,1.277,1.4305
2022-01-27,1.2742,1.4217
2022-01-26,1.267,1.4055
2022-01-25,1.2629,1.3981
2022-01-24,1.2638,1.3997
2022-01-21,1.2581,1.3924
2022-01-20,1.2503,1.3838
2022-01-19,1.2515,1.3868
2022-01-18,1.2514,1.3919
2022-01-17,1.2516,1.3868
2022-01-14,1.2552,1.3867
2022-01-13,1.252,1.3733
2022-01-12,1.2509,1.3729
2022-01-11,1.2575,1.3869
2022-01-10,1.2679,1.3938
2022-01-07,1.2643,1.3926
2022-01-06,1.2729,1.3958
2022-01-05,1.2756,1.3848
2022-01-04,1.2708,1.381
2022-01-03,1.2745,1.3907
2021-12-31,1.2637,1.3769
2021-12-30,1.2741,1.3793
2021-12-29,1.2791,1.3796
2021-12-28,1.2822,1.3836
2021-12-27,1.2789,1.3814
2021-12-24,1.2815,1.3847
2021-12-23,1.281,1.3803
2021-12-22,1.2836,1.3863
2021-12-21,1.2914,1.3977
2021-12-20,1.294,1.4062
2021-12-17,1.2889,1.4036
2021-12-16,1.2775,1.392
2021-12-15,1.2834,1.3943
2021-12-14,1.2862,1.4075
2021-12-13,1.2807,1.402
2021-12-10,1.2722,1.3944
2021-12-09,1.2713,1.3993
2021-12-08,1.2654,1.3943
2021-12-07,1.2639,1.4046
2021-12-06,1.2756,1.4181
2021-12-03,1.2843,1.429
2021-12-02,1.281,1.4099
2021-12-01,1.2818,1.4073
2021-11-30,1.2779,1.403
2021-11-29,1.2741,1.4
2021-11-26,1.2791,1.404
2021-11-25,1.2648,1.3908
2021-11-24,1.2668,1.3897
2021-11-23,1.267,1.3836
2021-11-22,1.27,1.3841
2021-11-19,1.264,1.3824
2021-11-18,1.2602,1.3741
2021-11-17,1.261,1.3761
2021-11-16,1.2558,1.3692
2021-11-15,1.2516,1.3612
2021-11-12,1.255,1.364
2021-11-11,1.2579,1.3711
2021-11-10,1.2491,1.3649
2021-11-09,1.2438,1.3554
2021-11-08,1.2442,1.3471
2021-11-05,1.2457,1.3513
2021-11-04,1.2456,1.3513
2021-11-03,1.2391,1.3428
2021-11-02,1.2411,1.3459
2021-11-01,1.2369,1.3294
2021-10-29,1.2388,1.3301
2021-10-28,1.2346,1.3256
2021-10-27,1.2359,1.3301
2021-10-26,1.239,1.3332
2021-10-25,1.2382,1.3348
2021-10-22,1.2366,1.3391
2021-10-21,1.2368,1.3392
2021-10-20,1.2321,1.3306
2021-10-19,1.2363,1.338
2021-10-18,1.2379,1.3492
2021-10-15,1.2368,1.3474
2021-10-14,1.237,1.3485
2021-10-13,1.2443,1.3553
2021-10-12,1.2468,1.3607
2021-10-11,1.2483,1.3611
2021-10-08,1.2472,1.3684
2021-10-07,1.2551,1.3674
2021-10-06,1.259,1.375
2021-10-05,1.2583,1.3718
2021-10-04,1.2589,1.372
2021-10-01,1.2648,1.3768
2021-09-30,1.268,1.3837
2021-09-29,1.2757,1.3937
2021-09-28,1.2687,1.3816
2021-09-27,1.2628,1.3725
2021-09-24,1.2652,1.3779
2021-09-23,1.2655,1.3707
2021-09-22,1.2772,1.3812
2021-09-21,1.282,1.3827
2021-09-20,1.2822,1.3789
2021-09-17,1.2764,1.3754
2021-09-16,1.2683,1.3712
2021-09-15,1.263,1.3635
2021-09-14,1.2694,1.3659
2021-09-13,1.2648,1.3569
2021-09-10,1.2692,1.3602
2021-09-09,1.2664,1.3571
2021-09-08,1.2691,1.3578
2021-09-07,1.2647,1.3539
2021-09-06,1.2534,1.3441
2021-09-03,1.2524,1.3412
2021-09-02,1.2553,1.3511
2021-09-01,1.262,1.3574
2021-08-31,1.2616,1.367
2021-08-30,1.2606,1.3706
2021-08-27,1.262,1.3675
2021-08-26,1.2687,1.3819
2021-08-25,1.2591,1.3743
2021-08-24,1.2589,1.3777
2021-08-23,1.2654,1.3871
2021-08-20,1.2821,1.4013
2021-08-19,1.2828,1.3992
2021-08-18,1.2658,1.382
2021-08-17,1.2629,1.3782
2021-08-16,1.2574,1.3631
2021-08-13,1.2515,1.3564
2021-08-12,1.2526,1.363
2021-08-11,1.2504,1.3562
2021-08-10,1.252,1.3608
2021-08-09,1.2577,1.3641
2021-08-06,1.2554,1.3595
2021-08-05,1.2506,1.3504
2021-08-04,1.254,1.3551
2021-08-03,1.2539,1.3523
2021-08-02,1.251,1.3579
2021-07-30,1.2475,1.3615
2021-07-29,1.2448,1.3521
2021-07-28,1.2528,1.3562
2021-07-27,1.2602,1.3588
2021-07-26,1.2551,1.3549
2021-07-23,1.2564,1.3576
2021-07-22,1.2563,1.3548
2021-07-21,1.2556,1.3592
2021-07-20,1.2682,1.3643
2021-07-19,1.275,1.3615
2021-07-16,1.2613,1.3516
2021-07-15,1.2595,1.3473
2021-07-14,1.2509,1.3369
2021-07-13,1.2513,1.3429
2021-07-12,1.2453,1.3368
2021-07-09,1.2447,1.3349
2021-07-08,1.2534,1.3455
2021-07-07,1.2481,1.3365
2021-07-06,1.2461,1.3342
2021-07-05,1.2342,1.3281
2021-07-02,1.2322,1.3286
2021-07-01,1.2437,1.3385
2021-06-30,1.2398,1.3335
2021-06-29,1.2401,1.3312
2021-06-28,1.2337,1.3215
2021-06-25,1.2292,1.3173
2021-06-24,1.2324,1.3187
2021-06-23,1.2306,1.3197
2021-06-22,1.2306,1.3238
2021-06-21,1.2363,1.3264
2021-06-18,1.2465,1.3371
2021-06-17,1.2358,1.3242
2021-06-16,1.2277,1.3141
2021-06-15,1.2184,1.3008
2021-06-14,1.2144,1.2968
2021-06-11,1.2158,1.2979
2021-06-10,1.2096,1.2898
2021-06-09,1.2111,1.2933
2021-06-08,1.2111,1.2923
2021-06-07,1.2082,1.2894
2021-06-04,1.2084,1.2917
2021-06-03,1.2107,1.3055
